time(%Y-%m-%dT%H:%M:%S.%f),rel_time(sec),velocity(c/s)
2022-02-03T08:00:00.009000,0.0,0.0
2022-02-03T08:00:00.059000,0.05,0.0001281992489845852
2022-02-03T08:00:00.109000,0.1,0.0007034487772711196
2022-02-03T08:00:00.159000,0.15,-0.0011240319432977983
2022-02-03T08:00:00.209000,0.2,-0.003984772673088105
2022-02-03T08:00:00.259000,0.25,-0.00026186261661039054
2022-02-03T08:00:00.309000,0.3,-0.00759562415940027
2022-02-03T08:00:00.359000,0.35,-0.008470635304878509
2022-02-03T08:00:00.409000,0.4,-0.000988258230857678
2022-02-03T08:00:00.459000,0.45,-0.03411315669131434
2022-02-03T08:00:00.509000,0.5,-0.03066711689374445
2022-02-03T08:00:00.559000,0.55,-0.012285248325135114
2022-02-03T08:00:00.609000,0.6,-0.06135478831346773
2022-02-03T08:00:00.659000,0.65,-0.03411387670561113
2022-02-03T08:00:00.709000,0.7,-0.00871361429238611
2022-02-03T08:00:00.759000,0.75,-0.04436960787730405
2022-02-03T08:00:00.809000,0.8,-0.006527818347217146
2022-02-03T08:00:00.859000,0.85,-0.030826174229517136
2022-02-03T08:00:00.909000,0.9,-0.009848660445661453
2022-02-03T08:00:00.959000,0.95,0.09576942666764626
2022-02-03T08:00:01.009000,1.0,0.03739712123832264
2022-02-03T08:00:01.059000,1.05,0.011751756909924374
2022-02-03T08:00:01.109000,1.1,0.07749774849708875
2022-02-03T08:00:01.159000,1.15,-0.016246860603557848
2022-02-03T08:00:01.209000,1.2,-0.15231330345967642
2022-02-03T08:00:01.259000,1.25,-0.13251723335243001
2022-02-03T08:00:01.309000,1.3,-0.08857179399471059
2022-02-03T08:00:01.359000,1.35,-0.14421109202369228
2022-02-03T08:00:01.409000,1.4,-0.2635099005026961
2022-02-03T08:00:01.459000,1.45,-0.19049849259861093
2022-02-03T08:00:01.509000,1.5,0.05775480338947307
2022-02-03T08:00:01.559000,1.55,-0.2269230742988886
2022-02-03T08:00:01.609000,1.6,-0.2613596416495587
2022-02-03T08:00:01.659000,1.65,0.03851787460347087
2022-02-03T08:00:01.709000,1.7,-0.28412415445655054
2022-02-03T08:00:01.759000,1.75,-0.1085610609967543
2022-02-03T08:00:01.809000,1.8,0.014707132339618931
2022-02-03T08:00:01.859000,1.85,-0.0693135717091375
2022-02-03T08:00:01.909000,1.9,0.2637399717719262
2022-02-03T08:00:01.959000,1.95,-0.20754482387474432
2022-02-03T08:00:02.009000,2.0,-0.20316660076882215
2022-02-03T08:00:02.059000,2.05,0.4506161617323337
2022-02-03T08:00:02.109000,2.1,0.03610764000134854
2022-02-03T08:00:02.159000,2.15,-0.3406412453385203
2022-02-03T08:00:02.209000,2.2,0.12227332235776116
2022-02-03T08:00:02.259000,2.25,0.041038688632348726
2022-02-03T08:00:02.309000,2.3,-0.3296838666683053
2022-02-03T08:00:02.359000,2.35,-0.18667123674438377
2022-02-03T08:00:02.409000,2.4,-0.5892532848525769
2022-02-03T08:00:02.459000,2.45,-0.6255380874311245
2022-02-03T08:00:02.509000,2.5,-0.2591900024368401
2022-02-03T08:00:02.559000,2.55,-0.5294098972816303
2022-02-03T08:00:02.609000,2.6,-0.3320013486509609
2022-02-03T08:00:02.659000,2.65,0.18887241726400736
2022-02-03T08:00:02.709000,2.7,-0.21975493293344286
2022-02-03T08:00:02.759000,2.75,-0.5442362985808101
2022-02-03T08:00:02.809000,2.8,0.10588728439817609
2022-02-03T08:00:02.859000,2.85,-0.9241463095913084
2022-02-03T08:00:02.909000,2.9,-0.6534643500306492
2022-02-03T08:00:02.959000,2.95,1.2072898569191153
2022-02-03T08:00:03.009000,3.0,0.37679602336194234
2022-02-03T08:00:03.059000,3.05,0.7069356747526767
2022-02-03T08:00:03.109000,3.1,0.5840314696141519
2022-02-03T08:00:03.159000,3.15,-0.5079876892139414
2022-02-03T08:00:03.209000,3.2,-0.3301740163325408
2022-02-03T08:00:03.259000,3.25,-0.5811393527580534
2022-02-03T08:00:03.309000,3.3,-0.10378555681598159
2022-02-03T08:00:03.359000,3.35,-0.3837701854294498
2022-02-03T08:00:03.409000,3.4,-0.5926971512208736
2022-02-03T08:00:03.459000,3.45,-0.9938186017083754
2022-02-03T08:00:03.509000,3.5,-1.3013889704694126
2022-02-03T08:00:03.559000,3.55,-0.2648098823470888
2022-02-03T08:00:03.609000,3.6,-1.0333125994306638
2022-02-03T08:00:03.659000,3.65,-0.9362144101566603
2022-02-03T08:00:03.709000,3.7,-0.806711084551556
2022-02-03T08:00:03.759000,3.75,-0.9618682890326299
2022-02-03T08:00:03.809000,3.8,0.9242849007155545
2022-02-03T08:00:03.859000,3.85,0.7519265695170267
2022-02-03T08:00:03.909000,3.9,0.2245931793338029
2022-02-03T08:00:03.959000,3.95,0.25942202074296655
2022-02-03T08:00:04.009000,4.0,-0.0972897640658927
2022-02-03T08:00:04.059000,4.05,0.4576759297125591
2022-02-03T08:00:04.109000,4.1,0.24623368534133278
2022-02-03T08:00:04.159000,4.15,-0.5612759096552077
2022-02-03T08:00:04.209000,4.2,-0.00906311036163475
2022-02-03T08:00:04.259000,4.25,0.228884659068549
2022-02-03T08:00:04.309000,4.3,-1.5454706015387334
2022-02-03T08:00:04.359000,4.35,-2.2241473126941234
2022-02-03T08:00:04.409000,4.4,-1.216697179824443
2022-02-03T08:00:04.459000,4.45,-0.6846832815302052
2022-02-03T08:00:04.509000,4.5,-0.8531356960060915
2022-02-03T08:00:04.559000,4.55,-1.0285053631754153
2022-02-03T08:00:04.609000,4.6,0.4232278437411819
2022-02-03T08:00:04.659000,4.65,0.10606860407037665
2022-02-03T08:00:04.709000,4.7,-1.098166929013798
2022-02-03T08:00:04.759000,4.75,0.9162033815974829
2022-02-03T08:00:04.809000,4.8,0.45791298154395077
2022-02-03T08:00:04.859000,4.85,0.06859567313704823
2022-02-03T08:00:04.909000,4.9,1.2430915283702164
2022-02-03T08:00:04.959000,4.95,0.024098268885343027
2022-02-03T08:00:05.009000,5.0,3.265174460591784
2022-02-03T08:00:05.059000,5.05,3.999727960389304
2022-02-03T08:00:05.109000,5.1,0.36544271110139515
2022-02-03T08:00:05.159000,5.15,0.47141588412966656
2022-02-03T08:00:05.209000,5.2,-1.7528585384502058
2022-02-03T08:00:05.259000,5.25,-0.28740406973502697
2022-02-03T08:00:05.309000,5.3,3.183119828010181
2022-02-03T08:00:05.359000,5.35,-0.35337553782500014
2022-02-03T08:00:05.409000,5.4,-1.0163805054636206
2022-02-03T08:00:05.459000,5.45,0.9118138650493216
2022-02-03T08:00:05.509000,5.5,0.247738128707844
2022-02-03T08:00:05.559000,5.55,-1.305516396026326
2022-02-03T08:00:05.609000,5.6,-0.8599853386138346
2022-02-03T08:00:05.659000,5.65,0.019844661712822623
2022-02-03T08:00:05.709000,5.7,-1.1350140156515118
2022-02-03T08:00:05.759000,5.75,1.378553013485397
2022-02-03T08:00:05.809000,5.8,3.915693126023473
2022-02-03T08:00:05.859000,5.85,1.8715973217435502
2022-02-03T08:00:05.909000,5.9,0.017167182187398253
2022-02-03T08:00:05.959000,5.95,0.28087100199117415
2022-02-03T08:00:06.009000,6.0,2.6355177351346666
2022-02-03T08:00:06.059000,6.05,2.472860810926982
2022-02-03T08:00:06.109000,6.1,2.16511396344032
2022-02-03T08:00:06.159000,6.15,4.806976354333204
2022-02-03T08:00:06.209000,6.2,2.0897506393720624
2022-02-03T08:00:06.259000,6.25,0.6669357492867292
2022-02-03T08:00:06.309000,6.3,4.074841118978215
2022-02-03T08:00:06.359000,6.35,4.062053015059672
2022-02-03T08:00:06.409000,6.4,1.076276913551319
2022-02-03T08:00:06.459000,6.45,-2.6982538022161338
2022-02-03T08:00:06.509000,6.5,0.16491941034102098
2022-02-03T08:00:06.559000,6.55,1.3617443827758382
